年份,生源地,科类,批次,院校名称,专业名称,专业备注,最低分,最低位次,最高分,平均分
2023,上海,综合,专科批,上海民远职业技术学院,水上运输类,集装箱运输管理（集装箱多式联运实务方向）,157,5340.0,0,159
2023,上海,综合,专科批,上海建设管理职业技术学院,市政工程类,市政管网智能检测与维护（办学点：总校区）,157,5340.0,0,187
2023,上海,综合,专科批,日照职业技术学院,电子商务类,电子商务,157,5340.0,0,157
2023,上海,综合,专科批,湖南铁路科技职业技术学院,城市轨道交通类,城市轨道车辆应用技术,157,5340.0,0,169
2023,上海,综合,专科批,上海震旦职业学院,药学类,药学（色盲、色弱者不宜）,157,5340.0,0,199
2023,上海,综合,专科批,上海闵行职业技术学院,自动化类,工业机器人技术（办学点：闵行区元江路4080号）,158,5315.0,0,185
2023,上海,综合,专科批,天津城市建设管理职业技术学院,汽车制造类,新能源汽车技术,158,5315.0,0,158
2023,上海,综合,专科批,上海邦德职业技术学院,物流类,现代物流管理（货代）,159,5286.0,0,173
2023,上海,综合,专科批,上海思博职业技术学院,建筑设计类,建筑装饰工程技术（装饰工程设计方向）,160,5264.0,0,198
2023,上海,综合,专科批,上海思博职业技术学院,财务会计类,大数据与会计,162,5212.0,0,207
2023,上海,综合,专科批,上海现代化工职业学院,非金属材料类,高分子材料智能制造技术（办学点：金山区龙胜路1097号）,164,5153.0,0,202
2023,上海,综合,专科批,上海工商职业技术学院,电子信息类,移动互联应用技术（嘉定校区）,164,5153.0,0,197
2023,上海,综合,专科批,上海旅游高等专科学校,财务会计类,大数据与会计,164,5153.0,0,200
2023,上海,综合,专科批,上海建设管理职业技术学院,林业类,园林技术（办学点：总校区）,164,5153.0,0,193
2023,上海,综合,专科批,江西司法警官职业学院,法律执行类,社区矫正,165,5132.0,0,187
2023,上海,综合,专科批,苏州高博软件技术职业学院,汽车制造类,新能源汽车技术,166,5103.0,0,166
2023,上海,综合,专科批,上海思博职业技术学院,物流类,现代物流管理（国际物流管理方向）,168,5049.0,0,207
2023,上海,综合,专科批,上海闵行职业技术学院,建筑设计类,建筑室内设计（办学点：闵行区元江路4080号）,170,5000.0,0,190
2023,上海,综合,专科批,上海工商职业技术学院,机械设计制造类,数控技术（嘉定校区）,170,5000.0,0,178
2023,上海,综合,专科批,四川国际标榜职业学院,电子商务类,网络营销与直播电商,170,5000.0,0,170
2023,上海,综合,专科批,上海济光职业技术学院,汽车制造类,新能源汽车技术（宝山校区）,171,4978.0,0,181
2023,上海,综合,专科批,哈尔滨铁道职业技术学院,铁道运输类,铁道工程技术,172,4947.0,0,202
2023,上海,综合,专科批,湖南高速铁路职业技术学院,铁道运输类,铁道交通运营管理（男生身高170cm）（含以上，女生身高160cm）（含以上）,173,4922.0,0,195
2023,上海,综合,专科批,苏州高博软件技术职业学院,城市轨道交通类,城市轨道交通运营管理,175,4876.0,0,175
2023,上海,综合,专科批,日照职业技术学院,航空运输类,通用航空航务技术,176,4851.0,0,176
2023,上海,综合,专科批,上海思博职业技术学院,金融类,金融服务与管理,176,4851.0,0,194
2023,上海,综合,专科批,上海电影艺术职业学院,广播影视类,新闻采编与制作,176,4851.0,0,179
2023,上海,综合,专科批,上海济光职业技术学院,金融类,金融服务与管理（宝山校区）,177,4817.0,0,183
2023,上海,综合,专科批,上海闵行职业技术学院,道路运输类,新能源汽车检测与维修技术（办学点：闵行区元江路4080号）,179,4776.0,0,196
2023,上海,艺术类,专科批,上海邦德职业技术学院,艺术设计类,游戏艺术设计,179,,226,207
2023,上海,综合,专科批,上海思博职业技术学院,汽车制造类,新能源汽车技术,180,4753.0,0,183
2023,上海,综合,专科批,上海建设管理职业技术学院,建筑设备类,建筑智能化工程技术（办学点：总校区）,181,4733.0,0,195
