uid,combo,mbti,rank,院校名称,专业名称,最低分,Predicted_MBTI,est_score
u_12,地理+物理+生物,ISTP,6,上海建设管理职业技术学院,林业类,164,ISFJ,2.500000000000045
u_12,地理+物理+生物,ISTP,7,天津医学高等专科学校,医学技术类,241,ISFJ,2.500000000000045
u_12,地理+物理+生物,ISTP,8,天津医学高等专科学校,康复治疗类,242,ISFJ,2.500000000000045
u_12,地理+物理+生物,ISTP,9,上海农林职业技术学院,畜牧业类,242,ISFJ,2.500000000000045
u_12,地理+物理+生物,ISTP,10,安徽医学高等专科学校,医学技术类,234,ISFJ,2.500000000000045
u_13,历史+政治+生物,ENFJ,1,上海震旦职业学院,教育类,107,ENFJ,4.000000000000045
u_13,历史+政治+生物,ENFJ,2,上海工商外国语职业学院,教育类,126,ENFJ,4.000000000000043
u_13,历史+政治+生物,ENFJ,3,上海工艺美术职业学院,教育类,239,ENFJ,4.000000000000043
u_13,历史+政治+生物,ENFJ,4,上饶幼儿师范高等专科学校,教育类,152,ENFJ,4.000000000000043
u_13,历史+政治+生物,ENFJ,5,上海济光职业技术学院,教育类,116,ENFJ,4.000000000000043
u_13,历史+政治+生物,ENFJ,6,重庆城市管理职业学院,公共事业类,120,ENFJ,4.000000000000043
u_13,历史+政治+生物,ENFJ,7,上海工商职业技术学院,教育类,130,ENFJ,4.000000000000043
u_13,历史+政治+生物,ENFJ,8,上海思博职业技术学院,教育类,121,ENFJ,4.000000000000043
u_13,历史+政治+生物,ENFJ,9,上海科学技术职业学院,公共事业类,226,ENFJ,4.000000000000043
u_13,历史+政治+生物,ENFJ,10,上海城建职业学院,公共事业类,254,ENFJ,4.000000000000043
u_14,历史+政治+物理,ENFP,1,上海旅游高等专科学校,文化服务类,114,ENFP,4.000000000000033
u_14,历史+政治+物理,ENFP,2,上海工艺美术职业学院,文化服务类,238,ENFP,4.000000000000033
u_14,历史+政治+物理,ENFP,3,上海出版印刷高等专科学校,文化服务类,198,ENFP,4.000000000000033
u_14,历史+政治+物理,ENFP,4,上海城建职业学院,文化服务类,252,ENFP,4.000000000000033
u_14,历史+政治+物理,ENFP,5,上海工商外国语职业学院,法律实务类,135,ENTJ,2.5000000000000524
u_14,历史+政治+物理,ENFP,6,江西司法警官职业学院,法律执行类,165,ENTJ,2.5000000000000524
u_14,历史+政治+物理,ENFP,7,上海工商职业技术学院,教育类,130,ENFJ,2.5000000000000338
u_14,历史+政治+物理,ENFP,8,上饶幼儿师范高等专科学校,教育类,152,ENFJ,2.5000000000000338
u_14,历史+政治+物理,ENFP,9,上海思博职业技术学院,教育类,121,ENFJ,2.5000000000000338
u_14,历史+政治+物理,ENFP,10,上海工商外国语职业学院,教育类,126,ENFJ,2.5000000000000338
u_15,地理+政治+生物,ENTP,1,上海工商外国语职业学院,法律实务类,135,ENTJ,2.500000000000055
u_15,地理+政治+生物,ENTP,2,江西司法警官职业学院,法律执行类,165,ENTJ,2.500000000000055
u_15,地理+政治+生物,ENTP,3,上海旅游高等专科学校,文化服务类,114,ENFP,2.5000000000000346
u_15,地理+政治+生物,ENTP,4,上海工艺美术职业学院,文化服务类,238,ENFP,2.5000000000000346
u_15,地理+政治+生物,ENTP,5,上海城建职业学院,文化服务类,252,ENFP,2.5000000000000346
u_15,地理+政治+生物,ENTP,6,上海出版印刷高等专科学校,文化服务类,198,ENFP,2.5000000000000346
u_15,地理+政治+生物,ENTP,7,上海震旦职业学院,教育类,107,ENFJ,2.500000000000034
u_15,地理+政治+生物,ENTP,8,上海工艺美术职业学院,教育类,239,ENFJ,2.5000000000000333
u_15,地理+政治+生物,ENTP,9,重庆城市管理职业学院,公共事业类,120,ENFJ,2.5000000000000333
u_15,地理+政治+生物,ENTP,10,上海工商职业技术学院,教育类,130,ENFJ,2.5000000000000333
u_16,地理+政治+物理,ISTP,1,上海工商外国语职业学院,机械设计制造类,100,ISTJ,2.5000000000002074
u_16,地理+政治+物理,ISTP,2,江苏卫生健康职业学院,康复治疗类,242,ISFJ,2.500000000000045
u_16,地理+政治+物理,ISTP,3,湖北中医药高等专科学校,医学技术类,261,ISFJ,2.500000000000045
u_16,地理+政治+物理,ISTP,4,合肥职业技术学院,医学技术类,191,ISFJ,2.500000000000045
u_16,地理+政治+物理,ISTP,5,上海农林职业技术学院,农业类,233,ISFJ,2.500000000000045
u_16,地理+政治+物理,ISTP,6,上海建设管理职业技术学院,林业类,164,ISFJ,2.500000000000045
u_16,地理+政治+物理,ISTP,7,天津医学高等专科学校,医学技术类,241,ISFJ,2.500000000000045
u_16,地理+政治+物理,ISTP,8,天津医学高等专科学校,康复治疗类,242,ISFJ,2.500000000000045
u_16,地理+政治+物理,ISTP,9,上海农林职业技术学院,畜牧业类,242,ISFJ,2.500000000000045
u_16,地理+政治+物理,ISTP,10,安徽医学高等专科学校,医学技术类,234,ISFJ,2.500000000000045
u_17,历史+地理+生物,ENFJ,1,上海震旦职业学院,教育类,107,ENFJ,4.000000000000045
u_17,历史+地理+生物,ENFJ,2,上海工商外国语职业学院,教育类,126,ENFJ,4.000000000000043
u_17,历史+地理+生物,ENFJ,3,上海工艺美术职业学院,教育类,239,ENFJ,4.000000000000043
u_17,历史+地理+生物,ENFJ,4,上饶幼儿师范高等专科学校,教育类,152,ENFJ,4.000000000000043
u_17,历史+地理+生物,ENFJ,5,上海济光职业技术学院,教育类,116,ENFJ,4.000000000000043
u_17,历史+地理+生物,ENFJ,6,重庆城市管理职业学院,公共事业类,120,ENFJ,4.000000000000043
u_17,历史+地理+生物,ENFJ,7,上海工商职业技术学院,教育类,130,ENFJ,4.000000000000043
u_17,历史+地理+生物,ENFJ,8,上海思博职业技术学院,教育类,121,ENFJ,4.000000000000043
u_17,历史+地理+生物,ENFJ,9,上海科学技术职业学院,公共事业类,226,ENFJ,4.000000000000043
u_17,历史+地理+生物,ENFJ,10,上海城建职业学院,公共事业类,254,ENFJ,4.000000000000043
u_18,历史+地理+物理,ISTP,1,上海工商外国语职业学院,机械设计制造类,100,ISTJ,2.5000000000002074
u_18,历史+地理+物理,ISTP,2,江苏卫生健康职业学院,康复治疗类,242,ISFJ,2.500000000000045
u_18,历史+地理+物理,ISTP,3,湖北中医药高等专科学校,医学技术类,261,ISFJ,2.500000000000045
u_18,历史+地理+物理,ISTP,4,合肥职业技术学院,医学技术类,191,ISFJ,2.500000000000045
u_18,历史+地理+物理,ISTP,5,上海农林职业技术学院,农业类,233,ISFJ,2.500000000000045
u_18,历史+地理+物理,ISTP,6,上海建设管理职业技术学院,林业类,164,ISFJ,2.500000000000045
u_18,历史+地理+物理,ISTP,7,天津医学高等专科学校,医学技术类,241,ISFJ,2.500000000000045
u_18,历史+地理+物理,ISTP,8,天津医学高等专科学校,康复治疗类,242,ISFJ,2.500000000000045
u_18,历史+地理+物理,ISTP,9,上海农林职业技术学院,畜牧业类,242,ISFJ,2.500000000000045
u_18,历史+地理+物理,ISTP,10,安徽医学高等专科学校,医学技术类,234,ISFJ,2.500000000000045
u_19,历史+地理+政治,ENFJ,1,上海震旦职业学院,教育类,107,ENFJ,4.000000000000045
u_19,历史+地理+政治,ENFJ,2,上海工商外国语职业学院,教育类,126,ENFJ,4.000000000000043
u_19,历史+地理+政治,ENFJ,3,上海工艺美术职业学院,教育类,239,ENFJ,4.000000000000043
u_19,历史+地理+政治,ENFJ,4,上饶幼儿师范高等专科学校,教育类,152,ENFJ,4.000000000000043
u_19,历史+地理+政治,ENFJ,5,上海济光职业技术学院,教育类,116,ENFJ,4.000000000000043
u_19,历史+地理+政治,ENFJ,6,重庆城市管理职业学院,公共事业类,120,ENFJ,4.000000000000043
u_19,历史+地理+政治,ENFJ,7,上海工商职业技术学院,教育类,130,ENFJ,4.000000000000043
u_19,历史+地理+政治,ENFJ,8,上海思博职业技术学院,教育类,121,ENFJ,4.000000000000043
u_19,历史+地理+政治,ENFJ,9,上海科学技术职业学院,公共事业类,226,ENFJ,4.000000000000043
u_19,历史+地理+政治,ENFJ,10,上海城建职业学院,公共事业类,254,ENFJ,4.000000000000043
